               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.015134,           0.0052881,                   0,             0.99159,             0.98266,             0.99444,             0.88314,            0.012061,           0.0023105,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.015347,           0.0052108,                   0,             0.99159,             0.98293,             0.99451,             0.87767,            0.012729,           0.0021733,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.014832,           0.0049383,                   0,             0.98333,             0.98314,             0.99434,             0.89678,             0.01208,           0.0022912,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.015121,           0.0054654,                   0,                   1,             0.96614,              0.9939,              0.8915,            0.012377,           0.0024286,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.014155,           0.0050719,                   0,             0.99952,             0.98333,             0.99381,             0.87861,            0.012103,            0.002204,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.014288,           0.0050326,                   0,             0.99864,             0.96667,             0.99418,             0.88717,            0.012039,           0.0021725,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.013506,           0.0050067,                   0,                   1,             0.98312,              0.9946,             0.88885,            0.011814,           0.0021054,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.014116,            0.005226,                   0,                   1,             0.97359,             0.99475,              0.8989,            0.011646,           0.0021935,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.013316,           0.0050108,                   0,             0.99076,             0.98333,              0.9945,             0.89384,            0.011109,            0.002139,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.014191,           0.0048737,                   0,             0.99995,             0.98333,             0.99452,             0.89933,            0.011139,           0.0021357,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.013588,           0.0049775,                   0,             0.99166,             0.99092,             0.99492,             0.90203,            0.011032,           0.0021017,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.013124,           0.0048803,                   0,             0.99872,             0.99167,               0.995,             0.90073,            0.011138,           0.0020684,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.012483,            0.004674,                   0,                   1,             0.98284,             0.99492,             0.89955,            0.010384,           0.0020235,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.013282,           0.0047385,                   0,                   1,             0.97438,             0.99451,             0.90014,            0.011038,           0.0020278,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.012653,           0.0045673,                   0,             0.99165,             0.98972,             0.99492,              0.8976,            0.011106,           0.0022447,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.013409,           0.0047505,                   0,             0.99862,               0.975,             0.99444,             0.90946,            0.010602,           0.0020435,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.012728,           0.0048626,                   0,             0.99931,               0.975,             0.99419,             0.90861,            0.010387,           0.0020819,                   0,            0.004753,            0.004753,            0.004753
                  55,             0.01259,           0.0045747,                   0,             0.98301,             0.98333,             0.99376,              0.9113,            0.010869,           0.0020076,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.012416,           0.0046478,                   0,             0.99891,               0.975,             0.99435,             0.91256,            0.010975,           0.0020602,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.012356,           0.0043598,                   0,                   1,             0.98202,             0.99483,             0.91661,           0.0096771,           0.0021104,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.011973,           0.0043645,                   0,                   1,             0.97448,             0.99429,              0.9141,            0.010686,           0.0021552,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.012092,           0.0044311,                   0,                   1,             0.98258,              0.9946,             0.90458,             0.01109,           0.0019658,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.011882,           0.0043893,                   0,             0.99509,               0.975,             0.99436,             0.90984,            0.011048,           0.0020853,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.011569,           0.0041639,                   0,             0.99901,               0.975,             0.99421,              0.9094,            0.010203,           0.0020429,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.011449,           0.0043656,                   0,             0.99153,               0.975,             0.99427,             0.91943,            0.010511,           0.0021113,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.011845,           0.0044907,                   0,              0.9915,             0.97171,             0.99402,             0.91175,            0.010431,           0.0021859,                   0,            0.003862,            0.003862,            0.003862
                  64,             0.01189,            0.004412,                   0,             0.98981,             0.98333,             0.99467,             0.91377,            0.010481,           0.0020525,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.011643,           0.0044735,                   0,                   1,             0.97478,             0.99475,             0.90607,            0.011036,           0.0020706,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.011153,           0.0040757,                   0,             0.99925,             0.98333,             0.99415,             0.91886,            0.010512,            0.001978,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.010944,           0.0042761,                   0,             0.99937,             0.98333,             0.99452,             0.91557,            0.010327,           0.0019538,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.010859,           0.0041769,                   0,             0.99943,             0.98333,             0.99408,             0.92219,            0.010236,           0.0019683,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.010738,           0.0040976,                   0,             0.99964,             0.98333,              0.9943,             0.92015,            0.010185,           0.0019776,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.010775,           0.0043731,                   0,              0.9992,               0.975,             0.99459,             0.91366,            0.010159,           0.0018928,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.010631,           0.0040876,                   0,             0.98947,             0.99167,             0.99483,             0.92063,            0.009987,           0.0019193,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.010667,           0.0042586,                   0,             0.99974,             0.98333,             0.99467,               0.917,           0.0096847,           0.0020071,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.010087,           0.0039875,                   0,                   1,             0.98322,             0.99326,             0.91969,           0.0099538,           0.0019458,                   0,            0.002872,            0.002872,            0.002872
                  74,             0.01017,           0.0040094,                   0,                   1,             0.98304,             0.99444,             0.92228,           0.0096557,           0.0019661,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.010029,            0.003889,                   0,             0.99103,             0.98333,             0.99444,             0.91952,           0.0098428,           0.0018826,                   0,            0.002674,            0.002674,            0.002674
                  76,           0.0098879,           0.0039575,                   0,             0.99856,               0.975,             0.99385,             0.91644,           0.0095931,           0.0018751,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.009737,           0.0039336,                   0,             0.99977,             0.98333,             0.99444,             0.92622,           0.0095398,           0.0018699,                   0,            0.002476,            0.002476,            0.002476
                  78,           0.0098466,           0.0038997,                   0,             0.99935,               0.975,             0.99443,             0.92116,           0.0099579,           0.0018978,                   0,            0.002377,            0.002377,            0.002377
                  79,           0.0096185,           0.0039097,                   0,             0.99953,               0.975,             0.99435,             0.92256,              0.0102,           0.0019435,                   0,            0.002278,            0.002278,            0.002278
                  80,           0.0096862,           0.0039288,                   0,              0.9991,               0.975,             0.99419,             0.92747,           0.0096463,           0.0018463,                   0,            0.002179,            0.002179,            0.002179
                  81,           0.0096883,           0.0041964,                   0,             0.99921,               0.975,             0.99435,             0.92179,           0.0099671,           0.0018894,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.009332,           0.0038277,                   0,             0.99159,             0.98259,             0.99444,             0.92386,           0.0096859,           0.0019215,                   0,            0.001981,            0.001981,            0.001981
                  83,           0.0093946,           0.0038647,                   0,             0.99922,               0.975,             0.99443,             0.92404,           0.0093645,           0.0019124,                   0,            0.001882,            0.001882,            0.001882
